Args, Graph4J, JGraphT, Guava, JUNG
10000, 16, 157, 62, 125
20000, 78, 453, 125, 469
30000, 199, 791, 345, 867
40000, 262, 1030, 347, 1004
50000, 288, 1349, 629, 1356
60000, 386, 1750, 764, 1686
70000, 541, 2030, 976, 2047
80000, 609, 2406, 1016, 2328
90000, 750, 2656, 1234, 2718
100000, 844, 3000, 1594, 2999
