Args, Graph4J, JGraphT, Guava, JUNG
500, 4, 44, 16, 28
1000, 16, 176, 52, 124
1500, 36, 392, 124, 272
2000, 64, 651, 212, 439
2500, 100, 984, 364, 704
3000, 144, 1432, 488, 1012
3500, 192, 1884, 660, 1432
4000, 252, 2572, 860, 1884
4500, 320, 3080, 1188, 2332
5000, 396, 3804, 1420, 2848
