Args, Graph4J, JGraphT
500, 15, 25
1000, 110, 485
1500, 391, 1297
2000, 844, 2713
2500, 1501, 4922
3000, 2797, 8016
3500, 3583, 12281
4000, 6500, 20402
4500, 9204, 27845
5000, 10726, 37151
