Args, Graph4J, JGraphT, Guava, JUNG
100, 2, 2, 2, 26
200, 2, 2, 2, 202
300, 2, 4, 2, 590
400, 2, 6, 2, 1608
500, 2, 10, 4, 2894
600, 2, 14, 6, 4718
700, 2, 20, 8, 2258
800, 2, 26, 10, 3030
900, 2, 36, 12, 2768
1000, 2, 40, 14, 3490
