Args, Graph4J, JGraphT
1000, 4, 8
2000, 4, 22
3000, 4, 68
4000, 4, 136
5000, 8, 280
6000, 8, 412
7000, 12, 592
8000, 16, 876
9000, 20, 1280
10000, 24, 1872
