Args, Graph4J, JGraphT, Guava, JUNG
5, 16, 265, 187, 188
10, 31, 907, 516, 375
15, 32, 1593, 1281, 860
20, 46, 2048, 1532, 984
25, 62, 2407, 2156, 1563
30, 62, 3282, 2438, 1985
35, 79, 3688, 2953, 2048
40, 94, 4500, 3657, 2484
45, 94, 4703, 3891, 2625
50, 125, 4954, 4235, 2860
