Args, Graph4J, JGraphT, Guava, JUNG
500, 4, 40, 16, 32
1000, 8, 160, 52, 124
1500, 12, 360, 124, 268
2000, 20, 584, 212, 484
2500, 28, 908, 364, 728
3000, 40, 1284, 488, 1060
3500, 52, 1692, 660, 1520
4000, 68, 2280, 872, 2032
4500, 88, 2804, 1160, 2500
5000, 108, 3316, 1452, 2992
