Args, Graph4J, JGraphT, Guava, JUNG
500, 0, 15, 47, 31
1000, 0, 32, 219, 94
1500, 0, 63, 516, 266
2000, 0, 109, 937, 391
2500, 15, 171, 1328, 594
3000, 0, 234, 1656, 890
3500, 16, 313, 2281, 1297
4000, 0, 407, 3328, 1594
4500, 0, 515, 4265, 2109
5000, 15, 625, 4922, 2625
