Args, Graph4J, JGraphT, Guava
500, 2, 2, 2
1000, 2, 2, 2
1500, 2, 2, 2
2000, 2, 2, 2
2500, 2, 2, 2
3000, 2, 2, 2
3500, 2, 2, 2
4000, 2, 2, 2
4500, 2, 2, 2
5000, 2, 2, 2
