Args, Graph4J, JGraphT, Guava
100, 0, 9, 5
200, 1, 41, 19
300, 1, 126, 47
400, 2, 334, 93
500, 2, 796, 154
600, 4, 1398, 268
700, 6, 2513, 371
800, 7, 3762, 477
900, 9, 5953, 615
1000, 11, 7816, 739
