Args, Graph4J, JGraphT, Guava, JUNG
500, 4, 4, 4, 4
1000, 4, 4, 4, 4
1500, 4, 4, 4, 4
2000, 4, 4, 4, 4
2500, 4, 4, 4, 4
3000, 4, 4, 4, 4
3500, 4, 4, 4, 4
4000, 4, 4, 4, 4
4500, 4, 8, 4, 4
5000, 4, 8, 4, 4
