Args, Graph4J, JGraphT, Guava
100, 2, 2, 2
200, 4, 6, 8
300, 6, 10, 14
400, 10, 20, 26
500, 14, 30, 38
600, 20, 42, 56
700, 28, 54, 72
800, 36, 74, 104
900, 46, 96, 126
1000, 56, 114, 150
