Args, Graph4J, Guava, JUNG
1000, 9, 11, 22
2000, 32, 46, 276
3000, 73, 104, 556
4000, 120, 244, 952
5000, 194, 350, 1501
6000, 273, 404, 2125
7000, 366, 584, 2798
8000, 510, 708, 3657
9000, 616, 958, 4625
10000, 756, 1219, 5678
