Args, Graph4J, JGraphT, Guava, JUNG
500, 0, 62, 16, 31
1000, 16, 594, 31, 140
1500, 31, 2105, 109, 297
2000, 62, 5094, 188, 750
2500, 110, 9884, 453, 1000
3000, 172, 17646, 656, 1637
3500, 219, 27391, 828, 2532
4000, 296, 41234, 1157, 3125
4500, 375, 62220, 1890, 4094
5000, 484, 83203, 2329, 5149
