Args, Graph4J, JGraphT
1000, 15, 47
2000, 56, 236
3000, 172, 675
4000, 390, 1500
5000, 672, 2468
6000, 1016, 3829
7000, 1453, 5594
8000, 1969, 7141
9000, 2735, 10798
10000, 3370, 15629
