Args,Graph4J, Guava
1000, 10, 52
2000, 32, 212
3000, 74, 502
4000, 128, 818
5000, 204, 1392
6000, 290, 1940
7000, 394, 2620
8000, 510, 3402
9000, 670, 4686
10000, 828, 5704
