Args, Graph4J, JGraphT
100, 16, 0
200, 15, 63
300, 16, 188
400, 31, 484
500, 47, 922
600, 78, 2063
700, 109, 3516
800, 187, 6063
900, 265, 10251
1000, 375, 17377
