Args, Graph4J, JGraphT, Guava, JUNG
100, 58, 294, 114, 288
200, 94, 516, 226, 514
300, 130, 788, 356, 738
400, 166, 1138, 446, 986
500, 204, 1326, 516, 1218
600, 240, 1574, 676, 1406
700, 276, 1956, 748, 1706
800, 312, 2204, 848, 2014
900, 350, 2410, 940, 2178
1000, 386, 2682, 1032, 2422
