Args, Graph4J, JGraphT, Guava
100, 1, 19, 6
200, 7, 216, 56
300, 15, 929, 188
400, 34, 2658, 444
500, 65, 6307, 836
600, 117, 12415, 1592
700, 176, 22692, 2420
800, 261, 38313, 3589
900, 371, 61898, 5179
1000, 497, 95879, 7597
