Args, Graph4J, JGraphT, Guava
100, 0, 0, 0
200, 15, 31, 47
300, 31, 94, 187
400, 63, 234, 437
500, 94, 500, 812
600, 156, 922, 1453
700, 265, 1610, 2422
800, 375, 2657, 3548
900, 516, 4485, 5188
1000, 703, 6939, 7188
