Args, Graph4J, JGraphT
500, 1, 33
1000, 7, 142
1500, 16, 399
2000, 32, 721
2500, 38, 1369
3000, 63, 1687
3500, 78, 2779
4000, 105, 3545
4500, 135, 4507
5000, 166, 5603
