Args, Graph4J, JGraphT, Guava, JUNG
200, 4, 4, 4, 4
400, 4, 4, 4, 4
600, 4, 8, 4, 4
800, 4, 12, 4, 4
1000, 4, 16, 4, 4
1200, 4, 20, 4, 4
1400, 4, 28, 4, 4
1600, 4, 36, 4, 4
1800, 4, 44, 4, 4
2000, 4, 56, 4, 4
