Args, Graph4J, JGraphT, Guava, JUNG
500, 4, 36, 12, 21
1000, 12, 144, 40, 88
1500, 28, 324, 96, 184
2000, 48, 520, 156, 356
2500, 76, 759, 272, 491
3000, 108, 1147, 372, 740
3500, 148, 1512, 464, 1032
4000, 192, 2080, 600, 1360
4500, 244, 2504, 856, 1656
5000, 300, 3028, 1032, 2000
