Args, Graph4J, JGraphT
500, 4, 12
1000, 4, 46
1500, 4, 100
2000, 8, 180
2500, 12, 272
3000, 16, 392
3500, 20, 404
4000, 28, 582
4500, 32, 624
5000, 40, 791
