Args, Graph4J, JGraphT, Guava, JUNG
5, 102, 694, 610, 1164
10, 202, 1380, 1230, 2314
15, 302, 2134, 1874, 3540
20, 402, 2766, 2462, 4614
25, 482, 3386, 3042, 5706
30, 582, 4262, 3772, 7066
35, 682, 4888, 4356, 8132
40, 782, 5514, 4926, 9220
45, 862, 6136, 5528, 10316
50, 962, 6760, 6098, 11400
