Args, Graph4J, JGraphT, Guava
500, 0, 16, 0
1000, 0, 250, 16
1500, 15, 1344, 31
2000, 15, 3297, 47
2500, 31, 6687, 78
3000, 47, 11875, 141
3500, 63, 19798, 172
4000, 63, 30922, 235
4500, 78, 44235, 297
5000, 93, 63798, 407
