Args, Graph4J, JGraphT, Guava, JUNG
500, 0, 2, 10, 8
1000, 0, 6, 39, 19
1500, 0, 13, 92, 45
2000, 0, 22, 160, 73
2500, 0, 33, 243, 117
3000, 0, 50, 301, 166
3500, 0, 67, 401, 241
4000, 1, 93, 566, 326
4500, 1, 108, 718, 397
5000, 1, 135, 937, 468
