Args, Graph4J, JGraphT, Guava, JUNG
10, 106, 3575, 453, 2277
20, 250, 7027, 1394, 4432
30, 408, 10938, 1801, 7111
40, 533, 13394, 2588, 8524
50, 792, 15157, 2904, 10770
60, 957, 21319, 3701, 13525
70, 1078, 24470, 4157, 15344
80, 1281, 31220, 4516, 16489
90, 1660, 31858, 5305, 18742
100, 1835, 35146, 6084, 22443
