Args, Graph4J, JGraphT, Guava
500, 2, 6, 4
1000, 2, 26, 14
1500, 2, 58, 32
2000, 2, 104, 58
2500, 2, 164, 92
3000, 2, 236, 132
3500, 2, 322, 182
4000, 2, 420, 238
4500, 2, 59, 302
5000, 2, 183, 372
