Args, Graph4J, JGraphT
100, 4, 8
200, 4, 48
300, 4, 156
400, 4, 372
500, 4, 324
600, 4, 1260
700, 4, 2008
800, 4, 3000
900, 4, 4288
1000, 4, 964
