Args, Graph4J, JGraphT
1000, 0, 210
2000, 10, 190
3000, 4, 395
4000, 10, 780
5000, 16, 1456
6000, 22, 2685
7000, 28, 4196
8000, 42, 5434
9000, 58, 7642
10000, 65, 10428
