Args, Graph4J, JGraphT, Guava, JUNG
100000, 2, 14, 12, 48
200000, 2, 30, 24, 96
300000, 2, 42, 34, 140
400000, 2, 60, 48, 190
500000, 2, 72, 58, 234
600000, 2, 84, 68, 280
700000, 2, 98, 78, 326
800000, 2, 114, 92, 374
900000, 2, 128, 102, 420
1000000, 2, 140, 112, 142
