Args, Graph4J, JGraphT, Guava, JUNG
500, 0, 0, 47, 15
1000, 0, 31, 235, 94
1500, 0, 47, 547, 203
2000, 0, 78, 1000, 360
2500, 0, 156, 1422, 579
3000, 0, 218, 1719, 938
3500, 0, 282, 2344, 1234
4000, 0, 360, 3453, 1500
4500, 0, 505, 4640, 2180
5000, 15, 578, 5297, 2469
