Args, Graph4J, JGraphT, Guava, JUNG
500, 0, 93, 16, 16
1000, 31, 781, 47, 140
1500, 94, 2156, 141, 297
2000, 156, 4266, 234, 610
2500, 265, 7298, 468, 984
3000, 406, 12427, 718, 1406
3500, 576, 19003, 1076, 2340
4000, 717, 29306, 1380, 3105
4500, 917, 41359, 2105, 4202
5000, 1175, 58953, 2613, 5069
