Args, Graph4J, JGraphT, Guava, JUNG
100, 0, 0, 0, 16
200, 0, 0, 0, 94
300, 0, 16, 0, 344
400, 0, 0, 0, 1156
500, 0, 16, 16, 2887
600, 0, 47, 0, 5906
700, 0, 78, 0, 10000
800, 16, 140, 16, 16375
900, 0, 188, 16, 23391
1000, 16, 245, 16, 32610
