Args, Graph4J, JGraphT, Guava
100, 2, 2, 2
200, 2, 6, 8
300, 4, 10, 14
400, 8, 18, 26
500, 12, 28, 38
600, 16, 40, 56
700, 20, 50, 72
800, 26, 70, 104
900, 34, 92, 126
1000, 42, 108, 150
