Args, Graph4J, JGraphT, Guava, JUNG
200, 0, 0, 0, 0
400, 0, 63, 0, 16
600, 0, 203, 15, 31
800, 0, 422, 31, 79
1000, 16, 704, 110, 188
1200, 31, 1237, 125, 266
1400, 31, 1844, 171, 422
1600, 47, 2859, 265, 422
1800, 62, 4188, 375, 719
2000, 94, 5940, 375, 938
