Args, Graph4J, JGraphT
50000, 47, 546
100000, 94, 1672
150000, 141, 2531
200000, 235, 3782
250000, 281, 5297
300000, 391, 5172
350000, 454, 5703
400000, 578, 5375
450000, 688, 7125
500000, 812, 8234
